virtual/emacs-flim [app-emacs/limit,app-emacs/flim]
media-sound/gqradio [dev-util/pkgconfig,sys-devel/gettext,x11-libs/gtk+]
kde-base/khelpcenter [x11-libs/libXxf86vm,dev-util/pkgconfig,x11-libs/qt-svg,x11-libs/qt-script,x11-libs/qt-gui,x11-libs/qt-core,x11-proto/xf86vidmodeproto,x11-libs/qt-qt3support,dev-util/automoc,www-misc/htdig,x11-libs/libXt,x11-libs/libXtst,dev-lang/perl,app-text/docbook-xsl-stylesheets,kde-base/kdelibs,x11-libs/qt-sql,media-libs/qimageblitz,app-text/docbook-xml-dtd,x11-libs/qt-test,dev-util/cmake]
dev-perl/File-Type [dev-lang/perl,virtual/perl-Module-Build]
media-fonts/gnu-gs-fonts-std []
virtual/glu [media-libs/mesa,media-libs/opengl-apple]
dev-perl/Set-Object [dev-lang/perl]
app-dicts/aspell-ca [app-text/aspell]
dev-php/PEAR-Config [dev-php/PEAR-XML_Parser,dev-php/PEAR-XML_Util,dev-php/PEAR-PEAR,dev-php/pear,dev-lang/php]
sys-freebsd/freebsd-ubin [sys-libs/pam,sys-freebsd/freebsd-lib,app-arch/libarchive,sys-auth/pambase,sys-libs/zlib,sys-process/cronbase]
media-sound/picard [media-libs/libofa,media-video/ffmpeg,dev-python/PyQt4,dev-lang/python,media-libs/libdiscid,media-libs/mutagen]
app-dicts/aspell-cy [app-text/aspell]
x11-proto/dri2proto [dev-util/pkgconfig,sys-devel/binutils,x11-misc/util-macros,sys-devel/m4,sys-devel/libtool,sys-devel/autoconf,sys-devel/automake]
media-sound/line6usb [sys-apps/module-init-tools,media-libs/alsa-lib,sys-kernel/gentoo-sources,sys-apps/sed,dev-lang/perl,media-sound/alsa-headers,sys-apps/debianutils]
dev-lang/lua [app-emacs/lua-mode,sys-libs/readline]
app-dicts/aspell-cs [app-text/aspell]
net-proxy/haproxy [dev-libs/libpcre]
virtual/cblas [sci-libs/gsl,sci-libs/blas-atlas,sci-libs/mkl,sci-libs/cblas-reference]
app-emulation/libvirt [dev-libs/libxml2,sys-libs/readline,net-dns/avahi,sys-apps/util-linux,sys-kernel/openvz-sources,net-fs/nfs-utils,dev-lang/python,sys-fs/lvm2,sys-auth/polkit,dev-libs/yajl,app-emulation/virtualbox-bin,sys-fs/sysfsutils,sys-fs/udev,net-libs/libpcap,sys-block/parted,sys-block/open-iscsi,app-emulation/xen,sys-libs/libcap-ng,app-emulation/qemu-kvm-spice,net-analyzer/netcat6,sys-libs/libselinux,dev-libs/libnl,x11-libs/libpciaccess,app-emulation/xen-tools,sys-libs/ncurses,net-libs/gnutls,app-emulation/qemu,net-misc/curl,net-libs/libssh2,app-emulation/qemu-kvm,app-emulation/virtualbox-ose,net-misc/bridge-utils,sys-process/numactl]
app-dicts/babytrans-en2fre [app-dicts/babytrans]
dev-perl/CPAN-Checksums [virtual/perl-Digest-SHA,virtual/perl-IO,dev-perl/Data-Compare,dev-perl/Test-Pod-Coverage,dev-perl/Compress-Bzip2,virtual/perl-IO-Compress,virtual/perl-File-Temp,virtual/perl-Digest-MD5]
dev-libs/ffcall []
app-pda/ifuse [dev-libs/glib,app-pda/libplist,app-pda/libimobiledevice]
app-misc/linux-logo []
dev-python/networkx [dev-python/pygraphviz,sci-libs/scipy,dev-python/matplotlib,dev-python/pyyaml,dev-lang/python,dev-python/setuptools]
sys-apps/qcontrol [dev-lang/lua]
perl-core/File-Spec [virtual/perl-Module-Build,virtual/perl-ExtUtils-CBuilder,dev-lang/perl]
xfce-extra/xfce4-radio-plugin [xfce-base/xfce4-panel,dev-util/intltool,xfce-base/libxfcegui4]
x11-plugins/monto [x11-libs/libXext,x11-libs/libXpm,x11-libs/libX11]
dev-perl/Exporter-Cluster [dev-lang/perl]
dev-perl/IPC-Signal [dev-lang/perl]
app-arch/unrar []
dev-perl/Devel-REPL [dev-perl/Lexical-Persistence,dev-perl/Sys-SigAction,dev-perl/File-HomeDir,dev-perl/App-Nopaste,virtual/perl-Term-ANSIColor,dev-perl/MooseX-Object-Pluggable,dev-perl/File-Next,dev-perl/Moose,dev-perl/MooseX-Getopt,dev-perl/Data-Dumper-Concise,dev-perl/namespace-clean,dev-perl/PPI,dev-perl/MooseX-AttributeHelpers,dev-perl/B-Keywords,dev-perl/Data-Dump-Streamer]
games-board/fruit [app-arch/unzip]
xfce-extra/xfce4-cpufreq-plugin [xfce-base/libxfce4util,xfce-base/libxfcegui4,x11-libs/gtk+,xfce-base/xfce4-panel]
dev-ruby/mmap [dev-lang/ruby]
x11-drivers/xf86-video-newport [x11-proto/videoproto,dev-util/pkgconfig,x11-proto/randrproto,x11-proto/xproto,sys-devel/binutils,sys-devel/m4,x11-proto/fontsproto,x11-misc/util-macros,x11-base/xorg-server,sys-devel/libtool,x11-proto/renderproto]
www-apps/dotproject [app-admin/webapp-config,app-text/poppler,virtual/httpd-php]
dev-php5/ezc-Workflow [dev-lang/php,dev-php5/ezc-Base,dev-php/PEAR-PEAR,dev-php/pear]
dev-libs/libmirage [dev-util/gtk-doc,sys-libs/zlib,sys-devel/bison,dev-libs/glib,media-libs/libsndfile,sys-devel/flex]
app-editors/qwriter [x11-libs/qt-gui,x11-libs/qscintilla]
dev-lisp/cl-mpd [dev-lisp/common-lisp-controller,dev-lisp/sbcl]
media-gfx/keyjnote [app-text/pdftk,dev-python/pygame,app-text/poppler,dev-python/pyopengl,dev-python/imaging,dev-lang/python,app-text/ghostscript-gpl]
virtual/perl-IO-Compress [dev-lang/perl,perl-core/IO-Compress]
dev-vcs/cvsq [app-shells/bash,dev-vcs/cvs,sys-apps/coreutils]
x11-plugins/bfm [app-admin/gkrellm,x11-libs/gtk+,dev-util/pkgconfig]
games-fps/wolfgl [virtual/opengl,x11-proto/xproto,app-arch/unzip]
dev-ruby/calendar_date_select [dev-ruby/activesupport,dev-ruby/rspec,dev-ruby/actionpack]
dev-vcs/cvsd [sys-apps/tcp-wrappers,dev-vcs/cvs,dev-lang/perl]
app-xemacs/misc-games [app-xemacs/xemacs-base]
dev-python/setuptools [app-admin/eselect-python,dev-lang/python]
dev-java/ant-jdepend [sys-apps/portage,dev-java/ant-core,dev-java/jdepend]
media-sound/edna [dev-python/pyogg,media-libs/mutagen,dev-python/pyvorbis,dev-lang/python]
dev-ada/gtkada [x11-libs/pango,dev-libs/glib,x11-libs/gtk+,x11-libs/cairo,app-admin/eselect-gnat,virtual/ada,sys-apps/sed,dev-libs/atk]
net-firewall/ipkungfu [app-admin/sysklogd,net-firewall/iptables]
x11-plugins/wmsound [media-sound/esound,x11-libs/libPropList,x11-misc/imake,x11-wm/windowmaker,media-sound/wmsound-data]
net-libs/libyahoo2 []
games-fps/quake3-alternatefire [app-arch/unzip,games-fps/quake3-bin,games-fps/quake3]
games-emulation/epsxe [games-emulation/psemu-peopsspu,x11-libs/gtk+,games-emulation/psemu-peopssoftgpu,x11-misc/imake,app-arch/unzip,games-emulation/psemu-gpupetemesagl]
app-misc/cdcollect [dev-util/pkgconfig,dev-dotnet/gtk-sharp,x11-libs/gtk+,dev-dotnet/gnome-sharp,dev-lang/mono,gnome-base/gconf,dev-dotnet/gconf-sharp,dev-util/intltool,dev-dotnet/glade-sharp,dev-dotnet/gnomevfs-sharp,dev-db/sqlite,dev-perl/XML-Parser]
dev-php/PEAR-XML_Tree [dev-php/PEAR-XML_Parser,dev-lang/php,dev-php/PEAR-PEAR,dev-php/pear]
games-action/nighthawk [x11-libs/libXpm]
dev-python/pylzma [app-admin/eselect-python,dev-lang/python]
x11-wm/musca [sys-apps/sed,x11-misc/xbindkeys,x11-libs/libX11,x11-misc/dmenu]
sci-mathematics/agda [dev-haskell/haskell-src,dev-haskell/binary,virtual/emacs,dev-haskell/quickcheck,dev-haskell/haskeline,dev-lang/ghc,dev-haskell/zlib,dev-haskell/mtl,app-emacs/haskell-mode,dev-haskell/alex,dev-haskell/happy,dev-haskell/xhtml]
dev-php/PEAR-Date [dev-php/PEAR-Console_Getopt,dev-lang/php,dev-php/PEAR-PEAR,dev-php/pear]
dev-dotnet/log4net [dev-lang/mono]
games-arcade/tuxanci [media-libs/sdl-mixer,dev-vcs/git,dev-libs/libzip,sys-devel/gettext,dev-util/cmake,media-libs/libsdl,media-libs/fontconfig,dev-libs/zziplib,media-libs/sdl-image,media-libs/sdl-ttf]
dev-libs/libdbusmenu-qt [x11-libs/qt-core,dev-libs/qjson,x11-libs/qt-test,x11-libs/qt-gui]
kde-base/kdepim-meta [kde-base/libkpgp,kde-base/kdepim-runtime,kde-base/knotes,kde-base/kmail,kde-base/kjots,kde-base/kdepim-kresources,kde-base/kleopatra,kde-base/akonadi,kde-base/kaddressbook,kde-base/libkdepim,kde-base/kdepim-icons,kde-base/kdepim-strigi-analyzer,kde-base/kalarm,kde-base/knode,kde-base/ktimetracker,kde-base/korganizer,kde-base/kabcclient,kde-base/kontact,kde-base/libkleo,kde-base/kdepim-wizards,kde-base/akregator,kde-base/blogilo,kde-base/konsolekalendar]
app-dicts/myspell-de [app-arch/unzip]
sys-boot/yaboot [sys-fs/mac-fdisk,sys-apps/powerpc-utils,sys-fs/hfsutils,sys-fs/hfsplusutils]
games-board/spider [x11-misc/imake,x11-libs/libXaw,x11-libs/libXext]
dev-util/pscan [sys-devel/flex]
dev-python/pylons [dev-python/mako,dev-python/webtest,dev-python/beaker,dev-python/weberror,dev-python/webob,dev-python/decorator,dev-python/nose,dev-python/genshi,dev-python/tempita,dev-python/pastedeploy,dev-python/paste,dev-python/simplejson,dev-python/webhelpers,dev-python/routes,dev-python/coverage,dev-python/pastescript,dev-python/formencode,dev-python/jinja]
media-libs/libxtract [sci-libs/fftw,app-doc/doxygen]
net-dialup/fcpci [app-arch/rpm2targz,sys-apps/module-init-tools,sys-kernel/gentoo-sources,sys-apps/sed,net-dialup/capi4k-utils]
dev-lisp/cl-rsm-delayed [dev-lisp/cl-rsm-queue,dev-lisp/sbcl,dev-lisp/cl-rsm-filter,dev-lisp/common-lisp-controller]
net-misc/emirror []
media-gfx/simple-scan [x11-themes/gnome-icon-theme,media-gfx/sane-backends,sys-libs/zlib,x11-libs/cairo,sys-fs/udev,dev-libs/glib,x11-libs/gtk+,x11-misc/xdg-utils,dev-util/intltool,app-text/gnome-doc-utils,gnome-base/gconf,media-libs/jpeg]
dev-java/jgrapht [dev-java/ant-junit,dev-java/jgraph,dev-java/xmlunit,virtual/jre,dev-java/touchgraph-graphlayout,virtual/jdk]
net-misc/curl [app-misc/ca-certificates,net-nds/openldap,net-dns/libidn,sys-apps/diffutils,net-libs/libssh2,net-dns/c-ares,dev-lang/perl,dev-libs/nss]
app-dicts/gwaei [dev-util/pkgconfig,app-text/scrollkeeper,dev-libs/glib,sys-devel/gettext,gnome-base/gconf,x11-libs/libsexy,net-misc/curl,app-text/gnome-doc-utils]
media-video/noad [media-libs/libmpeg2,media-gfx/imagemagick,media-video/ffmpeg]
sys-apps/tuxonice-userui [media-libs/libmng,media-gfx/splashutils]
net-libs/rb_libtorrent [dev-cpp/asio,sys-devel/libtool,sys-devel/automake,dev-lang/python,dev-libs/boost]
dev-perl/WWW-Shorten [dev-perl/URI,virtual/perl-Module-Build,dev-perl/libwww-perl,dev-lang/perl]
app-admin/pprocm [dev-perl/Sys-Statistics-Linux,dev-perl/POE,dev-lang/perl]
perl-core/Pod-Simple [dev-lang/perl,virtual/perl-Pod-Escapes]
dev-util/beediff [x11-libs/qt-gui]
www-servers/ocsigen [dev-ml/camlzip,dev-ml/findlib,dev-ml/lwt,dev-ml/cryptokit,dev-lang/ocaml,dev-ml/ocaml-sqlite3,dev-ml/pcre-ocaml,dev-ml/ocamlduce,dev-ml/ocaml-ssl,dev-ml/ocamlnet]
dev-libs/qof [dev-texlive/texlive-latex,app-doc/doxygen,dev-libs/libxml2,dev-db/sqlite,dev-util/pkgconfig]
x11-themes/gtk-engines-dwerg [sys-devel/automake,sys-devel/libtool,x11-libs/gtk+,sys-devel/autoconf,dev-util/pkgconfig]
dev-tex/notoccite [sys-apps/texinfo,virtual/latex-base]
dev-cpp/libmcpp [app-arch/gzip]
app-text/docbook2X [dev-perl/XML-LibXML,dev-perl/XML-SAX,dev-libs/libxslt,dev-perl/XML-Writer,dev-perl/XML-XSLT,sys-devel/automake,dev-lang/perl,dev-perl/SGMLSpm,app-text/docbook-xsl-stylesheets,dev-perl/XML-NamespaceSupport,app-text/docbook-xml-dtd]
sci-libs/mccp4 []
xfce-extra/xfce4-cpugraph-plugin [dev-util/xfce4-dev-tools,x11-libs/gtk+,xfce-base/libxfcegui4,xfce-base/xfce4-panel]
dev-java/jsr223 [virtual/jdk,dev-java/java-config,app-arch/unzip]
dev-perl/Tie-StrictHash [dev-lang/perl]
media-radio/dxcc [dev-lang/perl,dev-perl/perl-tk]
dev-perl/B-OPCheck [dev-perl/B-Utils,dev-perl/Scope-Guard,dev-lang/perl]
sys-apps/ifd-gempc [sys-apps/pcsc-lite]
kde-base/kmimetypefinder [x11-libs/libXxf86vm,dev-util/pkgconfig,x11-libs/qt-script,x11-proto/xf86vidmodeproto,x11-libs/qt-gui,x11-libs/qt-core,x11-libs/qt-qt3support,dev-util/automoc,x11-libs/qt-svg,x11-libs/libXt,x11-libs/libXtst,x11-libs/qt-sql,dev-lang/perl,kde-base/kdelibs,dev-util/cmake,media-libs/qimageblitz,x11-libs/qt-test]
games-misc/wumpus [sys-apps/less]
sci-biology/embassy-emnu [media-libs/gd,x11-libs/libX11,sci-biology/emboss,sys-libs/ncurses]
dev-haskell/x11 [dev-lang/ghc,x11-libs/libXinerama,dev-haskell/cabal,x11-libs/libX11,dev-haskell/haddock]
sys-apps/sandbox [app-arch/xz-utils,app-misc/pax-utils,app-arch/lzma-utils]
dev-util/piklab [dev-util/cmake,sys-libs/readline,x11-libs/qt-qt3support,sys-libs/ncurses,x11-libs/qt-gui]
sci-electronics/vbs [sys-devel/flex,sys-devel/bison]
gnustep-apps/projectmanager [gnustep-libs/wizardkit,gnustep-apps/keyarcher,gnustep-libs/highlighterkit,gnustep-apps/plconv]
kde-misc/kdesudo [x11-libs/libXxf86vm,dev-util/pkgconfig,x11-libs/qt-script,x11-proto/xf86vidmodeproto,x11-libs/qt-gui,x11-libs/qt-core,x11-libs/qt-qt3support,dev-util/automoc,x11-libs/qt-svg,x11-libs/libXt,x11-libs/libXtst,x11-libs/qt-sql,dev-lang/perl,kde-base/kdelibs,app-admin/sudo,dev-util/cmake,x11-libs/qt-test]
dev-lang/f2c [dev-libs/libf2c]
dev-perl/Text-Iconv [dev-lang/perl]
app-dicts/sword-pilgrim [app-arch/unzip,app-text/sword]
gnome-base/libgnomekbd [x11-libs/gtk+,x11-libs/libxklavier,gnome-base/gconf,dev-libs/glib,dev-util/pkgconfig]
dev-tex/dvipost [sys-apps/texinfo,virtual/latex-base]
app-text/namazu [dev-lang/tk,app-text/mecab,virtual/emacs,app-text/chasen,app-i18n/kakasi,sys-devel/gettext,dev-perl/Text-Kakasi,app-i18n/nkf,www-client/lynx,dev-perl/File-MMagic]
media-video/alevt [x11-proto/xproto,x11-libs/libX11,media-libs/libpng]
media-libs/rubberband [sci-libs/fftw,media-libs/libsamplerate,media-libs/ladspa-sdk,media-libs/vamp-plugin-sdk,dev-util/pkgconfig]
www-apps/dokuwiki [virtual/httpd-php,app-admin/webapp-config]
dev-python/pycairo [x11-libs/cairo,dev-lang/python,dev-python/sphinx,dev-python/py]
app-laptop/lphdisk [sys-libs/lrmi]
app-misc/specto [app-admin/eselect-python,dev-python/gconf-python,dev-python/notify-python,dev-python/pygtk,dev-lang/python,dev-python/dbus-python]
dev-libs/libsmtp [dev-libs/glib]
dev-libs/libgringotts [dev-util/pkgconfig,app-crypt/mhash,dev-libs/libmcrypt,sys-libs/zlib,sys-apps/coreutils,app-arch/bzip2]
kde-base/kdepim-icons [x11-libs/libXxf86vm,dev-util/pkgconfig,x11-libs/qt-script,x11-proto/xf86vidmodeproto,x11-libs/qt-gui,x11-libs/qt-core,x11-libs/qt-qt3support,dev-util/automoc,x11-libs/qt-svg,x11-libs/libXt,x11-libs/libXtst,x11-libs/qt-sql,dev-lang/perl,kde-base/kdelibs,dev-util/cmake,x11-libs/qt-test]
net-analyzer/nstats [net-libs/libpcap]
net-libs/openmq-cclient [sys-devel/autoconf,dev-libs/nss,app-arch/unzip,sys-devel/automake,sys-devel/libtool,dev-libs/nspr]
dev-perl/Class-WhiteHole [dev-lang/perl]
sec-policy/selinux-avahi [sec-policy/selinux-base-policy,sec-policy/selinux-dbus,sys-apps/policycoreutils]
dev-perl/tie-encryptedhash [dev-perl/crypt-cbc,dev-perl/Crypt-Blowfish,dev-perl/Crypt-DES]
dev-lisp/cl-acl-compat [dev-lisp/cl-puri,dev-lisp/sbcl,dev-lisp/cl-ppcre,dev-lisp/common-lisp-controller]
x11-plugins/wmdl [x11-libs/libXext,x11-libs/libXpm,x11-libs/libX11]
kde-base/superkaramba [media-libs/qimageblitz,kde-base/kdelibs,kde-base/krosspython,dev-lang/python,kde-base/pykde4]
app-emulation/emul-linux-x86-gtkmmlibs [sys-apps/findutils,app-emulation/emul-linux-x86-gtklibs,app-emulation/emul-linux-x86-baselibs,app-emulation/emul-linux-x86-cpplibs]
dev-php5/pecl-mongo [sys-devel/libtool,sys-devel/m4,sys-devel/automake,sys-devel/autoconf]
dev-perl/adocman [virtual/perl-Digest-MD5,dev-perl/TermReadKey,dev-perl/Crypt-SSLeay,dev-lang/perl]
games-arcade/pydance-songs [games-arcade/pydance]
dev-lang/mlton [virtual/latex-base,dev-libs/gmp]
dev-python/virtualenv [dev-python/setuptools,dev-lang/python]
app-dicts/stardict-freedict-tur-deu [app-text/stardict,app-arch/gzip,app-text/dictd]
app-crypt/ssh-multiadd [net-misc/x11-ssh-askpass,dev-lang/python]
net-misc/iputils [sys-kernel/linux-headers,app-text/openjade,dev-vcs/git,app-text/docbook-sgml-dtd,dev-libs/openssl,sys-fs/sysfsutils,net-dns/libidn,dev-perl/SGMLSpm,app-text/docbook-sgml-utils]
net-wireless/acx-firmware [sys-apps/hotplug,sys-fs/udev]
media-gfx/gif2png [media-libs/libpng]
net-analyzer/isic [net-libs/libnet]
media-video/dvdimagecmp []
net-misc/networkmanager-pptp [net-dialup/ppp,x11-libs/gtk+,net-misc/openvpn,dev-libs/glib,gnome-base/gnome-keyring,net-misc/networkmanager,net-dialup/pptpclient,gnome-base/libgnomeui,gnome-base/libglade,dev-libs/dbus-glib,sys-apps/dbus,gnome-base/gconf,gnome-base/gnome-panel]
media-video/submux-dvd []
app-dicts/sword-la_en [app-arch/unzip,app-text/sword]
x11-misc/x2vnc [x11-proto/xineramaproto,x11-libs/libX11,x11-proto/xproto,x11-proto/scrnsaverproto,dev-tcltk/expect,x11-libs/libXinerama,x11-libs/libXScrnSaver]
games-emulation/psemu-peopsspu [media-libs/alsa-lib,x11-libs/gtk+]
gpe-base/gpe-icons [dev-util/intltool,x11-libs/gtk+,dev-util/pkgconfig]
dev-ruby/rdiscount [app-text/ronn]
kde-base/kdebase-desktoptheme [x11-libs/libXxf86vm,dev-util/pkgconfig,x11-libs/qt-script,x11-proto/xf86vidmodeproto,x11-libs/qt-gui,x11-libs/qt-core,x11-libs/qt-qt3support,dev-util/automoc,x11-libs/qt-svg,x11-libs/libXt,x11-libs/libXtst,x11-libs/qt-sql,dev-lang/perl,kde-base/kdelibs,dev-util/cmake,media-libs/qimageblitz,x11-libs/qt-test]
sec-policy/selinux-apache [sys-apps/policycoreutils,sec-policy/selinux-base-policy]
dev-python/chaco [dev-python/enable]
app-emulation/ganeti-instance-image [app-emulation/ganeti,sys-fs/e2fsprogs,app-arch/dump,sys-apps/coreutils,sys-apps/util-linux,sys-fs/multipath-tools]
dev-perl/Devel-Cycle [dev-lang/perl]
dev-lisp/cl-xlunit [dev-lisp/common-lisp-controller,dev-lisp/sbcl]
